id,title,description,credits,department,level
15-112,Fundamentals of Programming and Computer Science,"A technical introduction to the fundamentals of programming with an emphasis on producing clear, robust, and reasonably efficient code using top-down design, informal analysis, and effective testing and debugging. Starting from first principles, we will cover a large subset of the Python programming language, including its standard libraries and programming paradigms. We will also target computational problem solving skills, appropriate data structures and algorithms, and object-oriented programming techniques.",12,Computer Science,Undergraduate
15-213,Introduction to Computer Systems,"This course provides a programmer's view of how computer systems execute programs, store information, and communicate. It enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for courses on compilers, networks, operating systems, and computer architecture, where a deeper understanding of systems-level issues is required. Topics covered include: machine-level code and its generation by optimizing compilers, performance evaluation and optimization, computer arithmetic, memory organization and management, networking technology and protocols, and supporting concurrent computation.",12,Computer Science,Undergraduate
15-451,Algorithm Design and Analysis,"This course is about the design and analysis of algorithms. We study specific algorithms for a variety of problems, as well as general techniques for algorithm design and algorithm analysis. Specific topics include: divide and conquer algorithms, greedy algorithms, dynamic programming, network flows, linear programming, NP-completeness, approximation algorithms, and randomized algorithms. The goal is for students to develop proficiency in designing efficient algorithms for computational problems and analyzing their time and space complexities.",12,Computer Science,Undergraduate
33-104,Experimental Physics,"This course provides extensive hands-on laboratory experience and is required for the physics major. Students carry out experiments that illustrate important physics principles and learn experimental techniques. The laboratory work is supplemented by a workshop session that develops skills in computational physics, data analysis, and technical communication. Students will design and conduct independent experiments, analyze data, and present results in written reports and oral presentations.",9,Physics,Undergraduate
21-241,Matrices and Linear Transformations,"An introduction to linear algebra. Systems of linear equations, matrix algebra, finite-dimensional vector spaces, bases, linear transformations, eigenvalues, eigenvectors, and diagonalization. Applications may include Markov chains, least squares approximations, and systems of linear differential equations. This course provides the foundation for advanced courses in mathematics, science, and engineering.",10,Mathematics,Undergraduate
70-455,Corporate Finance,"This course provides an introduction to corporate finance, focusing on investment and financing decisions of firms. Topics include time value of money, risk and return, capital budgeting, cost of capital, capital structure, dividend policy, working capital management, and mergers and acquisitions. The course emphasizes practical applications and case studies from real companies to illustrate key financial concepts and decision-making processes.",12,Business,Undergraduate
24-101,Introduction to Mechanical Engineering,"This course provides a broad introduction to mechanical engineering through hands-on design projects and fundamental engineering analysis. Students work in teams to design, build, and test mechanical systems while learning about statics, dynamics, materials, manufacturing processes, and computer-aided design. The course emphasizes the engineering design process, teamwork, communication, and the application of mathematics and science to solve engineering problems.",12,Mechanical Engineering,Undergraduate
18-213,Introduction to Computer Systems,"This course provides a programmer's view of how computer systems execute programs, store information, and communicate. Students will learn about machine-level representation of programs, system-level programming, performance optimization, memory hierarchy, linking, exceptional control flow, measuring program performance, virtual memory, system-level I/O, network programming, and concurrent programming. The course includes extensive programming assignments in C.",12,Electrical Engineering,Undergraduate
79-104,Global Histories,"This course examines major themes in world history from ancient times to the present, emphasizing connections between different regions and cultures. Topics include the development of civilizations, trade networks, religious and philosophical traditions, political systems, and social structures. Students will analyze primary sources, engage in historical thinking, and develop skills in research, writing, and critical analysis. The course aims to provide a global perspective on human societies and their interactions over time.",9,History,Undergraduate
36-225,Introduction to Probability Theory,"This course provides a calculus-based introduction to probability theory. Topics include sample spaces, conditional probability, independence, discrete and continuous random variables, expectation, variance, joint distributions, limit theorems, and an introduction to stochastic processes. Applications are drawn from engineering, science, and other fields. The course emphasizes both theoretical understanding and practical problem-solving skills.",9,Statistics,Undergraduate
